37,5654,5617,"་་་རྗེ་བཙུན་བླ་མ་རྣམས་དང་། མདོ་རྒྱུད་མན་ངག་རབ་ཏུ་དྲི་མ་མེད་པ་རྣམས་ལ་"
5654,12796,7142,"སྒོ་གསུམ་གུས་པ་ཆེན་པོས་ལུས་རབ་ཏུ་གུས་པས་ཕྱག་འཚལ་ཞིང་སྐྱབས་སུ་མཆིའོ། བྱིན་གྱིས་བརླབ་པར་མཛད་དུ་གསོལ། "
12796,19969,7173,"གང་གི་ཞལ་བཟང་ལྟ་བས་མི་ངོམས་གེ་སར་འཛུམ་པའི་མདངས་བཀྲ་ཞིང༌། །མཚན་དཔེའི་གཟི་འོད་ཟེའུ་འབྲུ་གསལ་བས་འགྲོ་ཀུན་མིག་གི་བདུད་རྩིར་གྱུར། །"
19969,26789,6820,"ཐུགས་རྗེའི་འདབ་མ་ཀུན་ནས་དཀྱུས་རིང་འཇིག་རྟེན་གསུམ་གྱི་ཁོངས་ཁྱབ་པའི། །ཐུབ་དབང་པདྨ་དཀར་པོའི་ཞབས་པད་དེ་རིང་བདག་བློའི་ཡིད་མཚོར་སྐྱོངས། །"
26789,35602,8813,ཨོ་རྒྱན་མཚོ་གླིང་པདྨའི་སྡོང་པོ་ལ། རྒྱལ་བའི་རྣམ་འཕྲུལ་རང་བཞིན་ལྷུན་གྱིས་གྲུབ། མཚན་རྫོགས་དཔེ་བྱད་ཡོན་ཏན་ཚོགས་འབར་བའི། །པདྨ་འབྱུང་གནས་བདག་བློའི་པད་མཚོར་རོལ། །
35602,40777,5175,"སྔ་འགྱུར་བཀའ་གཏེར་བཀའ་གདམས་ལམ་འབྲས་དང་། །མར་ཤངས་བཀའ་བརྒྱུད་ཞི་གཅོད་སྦྱོར་བ་དྲུག །"
40777,45686,4909,"ཨོ་རྒྱན་བསྙེན་སྒྲུབ་ཟབ་མོའི་ཆོས་དྲུག་སོགས། །སྒྲུབ་བརྒྱུད་ཤིང་རྟ་བརྒྱད་ལ་གུས་ཕྱག་འཚལ། །"
45686,54810,9124,"རྒྱལ་ཀུན་ཡེ་ཤེས་སྐུ་ཅན་འཇམ་དཔལ་དབྱངས། །མཚུངས་མེད་ཚད་ལས་འདས་པའི་་་་། འཁྲུལ་ཞིག་གྲུབ་པ་དབང་པོ་རྡོ་རྗེ་འཛིན། །གཙུག་ལག་སྨྲ་བའི་ཉི་མར་གསོལ་བ་འདེབས། །"
54810,63319,8509,"བཀའ་བབས་བདུན་ལྡན་འཇམ་དབྱངས་མཁྱེན་བརྩེའི་གཏེར། །འཇམ་མགོན་ཀོང་སྤྲུལ་བློ་གྲོས་མཐའ་ཡས་ཞབས། །ཟབ་གཏེར་གསང་སྔགས་རྩོལ་མཛད་མཆོག་གྱུར་གླིང་། །བསྟན་པའི་སྒྲོན་མེ་གསུམ་ལ་གསོལ་བ་འདེབས། །"
63319,72829,9510,"འཇམ་པའི་དཔལ་གྱུར་མི་ཕམ་རྣམ་པར་རྒྱལ། །དཀྱིལ་འཁོར་ཀུན་གྱི་ཁྱབ་བདག་བི་ཛ་ཡ། །འོད་གསལ་རྡོ་རྗེ་ཆོས་ཀྱི་བློ་གྲོས་ཚུལ། །བཀའ་དྲིན་མཉམ་མེད་གསུམ་ལ་གསོལ་བ་འདེབས། །"
72829,81082,8253,"སྤྱི་དང་འདྲེན་དང་དབང་བསྐུར་ཉམས་ཆག་སྦྱངས། །མན་ངག་དུ་མ་ཤེས་རྒྱུད་འགྲོལ་མཛད་པའི། །རྩ་བའི་བླ་མ་རྣམས་ལ་གསོལ་བ་འདེབས། །ཐུགས་ཡིད་གཅིག་ཏུ་འདྲེས་པར་བྱིན་གྱིས་རློབས། །"
81082,90594,9512,"ཡོན་ཏན་རང་བཞིན་བདེ་ལེགས་ཕུན་སུམ་ཚོགས། །བཀྲ་ཤིས་མཆོག་གི་ལྷ་ཡི་ལྷར་གྱུར་པ། ཐུགས་རྗེའི་རང་བཞིན་ཕན་བདེའི་སྤྲིན་ཚོགས་ཅན། །དཔལ་མགོན་བླ་མའི་ཚོགས་ལ་གུས་ཕྱག་འཚལ། །"
90594,98242,7648,"གང་ཞིག་གསེར་མཆོག་རང་བཞིན་རི་རབ་ལ་གནས་མནྡྷ་ར་དང་ལྷར་བཅས་གནོད་སྦྱིན་དང་། གདེངས་ཀ་ནོར་བུའི་འོད་ཀྱིས་ས་འོག་མུན་ཚོགས་རྣམས་སེལ་མཛད་གང་ཡིན་དང་།"
98242,107353,9111,"གངས་ཅན་རིར་ནི་དཔལ་གྱིས་རོལ་ཞིང་རབ་ཏུ་དགའ་བའི་རིག་པ་འཛིན་པ་གང་སུ་དག།  དེ་དག་ཐམས་ཅད་ཐར་པ་དམ་པའི་སྒོར་གྱུར་ཐུབ་པའི་གསུང་མཉན་ཕྱིར་ནི་འདིར་གཤེགས་ཤིག །"
